contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes
60,5,31,5,12,97,4,3,0.806698469,4,7,448,1.107973106,2.287705191
61,5,31,5,11,60,4,8,-0.729870043,10,18,449,0.94906569,6.560725147
62,5,31,9,6,107,4,6,-0.422556341,7,13,450,5.054047782,21.54671273
63,5,31,9,5,24,4,9,-1.190840597,11,20,451,2.540522326,22.36328162
64,5,31,10,3,112,4,2,1.114012172,2,4,452,27.02747649,43.82474431
66,5,31,6,10,51,4,6,-0.422556341,7,13,453,4.182851104,17.83257599
67,5,31,7,9,59,4,7,-0.576213192,9,16,454,3.31704268,18.00734495
68,5,31,8,8,38,4,4,0.499384767,5,9,455,5.762370661,15.15057013
69,5,31,10,1,18,4,1,1.421325874,1,2,456,34.17693911,43.52012268
71,5,31,8,7,111,4,10,-1.959124854,12,22,457,2.197923857,24.63667568
72,5,31,10,4,98,4,5,0.345727915,6,11,458,7.788232725,26.07496008
73,5,31,10,2,33,4,2,1.114012172,2,4,459,26.54537585,43.04302363
62,5,31,9,6,107,5,4,-0.166205624,5,9,460,7.970310654,20.95574158
63,5,31,9,5,24,5,4,-0.166205624,5,9,461,9.464737858,24.88492724
64,5,31,10,3,112,5,4,-0.166205624,5,9,462,10.88430325,28.61728432
66,5,31,6,10,51,5,5,-0.831028119,9,14,463,1.598949951,5.353275591
67,5,31,7,9,59,5,4,-0.166205624,5,9,464,6.916255262,18.18439259
68,5,31,8,8,38,5,3,0.498616871,3,6,465,7.312365265,15.09832314
69,5,31,10,1,18,5,1,1.828261862,1,2,466,26.67335661,33.96523452
71,5,31,8,7,111,5,6,-2.16067311,10,16,467,4.758368508,20.28615552
72,5,31,10,4,98,5,3,0.498616871,3,6,468,13.95555897,28.81496361
73,5,31,10,2,33,5,2,0.831028119,2,4,469,21.34853974,34.61641325
62,5,31,9,6,107,6,1,1.253256627,1,2,470,19.60603052,24.96586517
63,5,31,9,5,24,6,3,0.147441956,4,7,471,11.31149474,23.35558968
64,5,31,10,3,112,6,2,0.810930759,3,5,472,17.83865553,28.92517612
67,5,31,7,9,59,6,6,-0.737209781,8,14,473,1.24880712,5.323987708
68,5,31,8,8,38,6,5,-0.516046847,7,12,474,3.129059702,10.47607457
69,5,31,10,1,18,6,1,1.253256627,1,2,475,24.2762061,30.91275859
71,5,31,8,7,111,6,7,-2.064187386,9,16,476,3.263308904,17.71563853
72,5,31,10,4,98,6,3,0.147441956,4,7,477,10.08974045,20.83295297
73,5,31,10,2,33,6,4,-0.294883912,6,10,478,8.12129946,21.35272516
62,5,31,9,6,107,7,4,-0.050315461,5,9,479,6.872830955,18.07022031
63,5,31,9,5,24,7,4,-0.050315461,5,9,480,7.579426506,19.92801913
64,5,31,10,3,112,7,1,1.157255592,1,2,481,23.24066686,29.5941269
68,5,31,8,8,38,7,5,-0.855362829,7,12,482,1.763686547,5.904812802
69,5,31,10,1,18,7,1,1.157255592,1,2,483,20.60902848,26.24305954
71,5,31,8,7,111,7,6,-2.062933882,8,14,484,2.248991319,9.58803161
72,5,31,10,4,98,7,2,0.553470066,3,5,485,13.89158452,22.52504557
73,5,31,10,2,33,7,3,0.150946382,4,7,486,10.94073665,22.59006099
62,5,31,9,6,107,8,4,-1.532848349,6,10,487,3.366907094,8.852356961
63,5,31,9,5,24,8,3,-0.797081141,5,8,488,4.063708823,8.390607788
64,5,31,10,3,112,8,2,-0.061313934,3,5,489,15.27195315,24.76329753
69,5,31,10,1,18,8,1,1.226278679,1,2,490,19.80882025,25.22409291
72,5,31,10,4,98,8,2,-0.061313934,3,5,491,13.38785882,21.7082601
73,5,31,10,2,33,8,1,1.226278679,1,2,492,19.38008918,24.6781567
64,5,31,10,3,112,9,2,-1,3,5,493,12.14641255,19.69526916
69,5,31,10,1,18,9,1,1,1,2,494,15.54592655,19.79582281
72,5,31,10,4,98,9,2,-1,3,5,495,9.446799128,15.31787685
